[ID],[NAME],[REGION],[FLAG]
81,Guinea,Sub-Saharan Africa,https://data.un.org/common/flags/gin_flag.png
82,Guinea-Bissau,Sub-Saharan Africa,https://data.un.org/common/flags/gnb_flag.png
83,Guyana,Latin America and Caribbean,https://data.un.org/common/flags/guy_flag.png
84,Haiti,Latin America and Caribbean,https://data.un.org/common/flags/hti_flag.png
85,Honduras,Latin America and Caribbean,https://data.un.org/common/flags/hnd_flag.png
86,Hong Kong SAR,East Asia and Pacific,https://data.un.org/common/flags/hkg_flag.png
87,Hungary,Europe and Central Asia,https://data.un.org/common/flags/hun_flag.png
88,Iceland,Europe and Central Asia,https://data.un.org/common/flags/isl_flag.png
89,India,South Asia,https://data.un.org/common/flags/ind_flag.png
90,Indonesia,East Asia and Pacific,https://data.un.org/common/flags/idn_flag.png
91,Iran,Middle East and North Africa,https://data.un.org/common/flags/irn_flag.png
92,Iraq,Middle East and North Africa,https://data.un.org/common/flags/irq_flag.png
93,Ireland,Europe and Central Asia,https://data.un.org/common/flags/irl_flag.png
94,Isle of Man,Europe and Central Asia,https://data.un.org/common/flags/imn_flag.png
95,Israel,Middle East and North Africa,https://data.un.org/common/flags/isr_flag.png
96,Italy,Europe and Central Asia,https://data.un.org/common/flags/ita_flag.png
97,Jamaica,Latin America and Caribbean,https://data.un.org/common/flags/jam_flag.png
98,Japan,East Asia and Pacific,https://data.un.org/common/flags/jpn_flag.png
99,Jordan,Middle East and North Africa,https://data.un.org/common/flags/jor_flag.png
100,Kazakhstan,Europe and Central Asia,https://data.un.org/common/flags/kaz_flag.png
101,Kenya,Sub-Saharan Africa,https://data.un.org/common/flags/ken_flag.png
102,Kiribati,East Asia and Pacific,https://data.un.org/common/flags/kir_flag.png
103,North Korea,East Asia and Pacific,https://data.un.org/common/flags/prk_flag.png
104,South Korea,East Asia and Pacific,https://data.un.org/common/flags/kor_flag.png
105,Kuwait,Middle East and North Africa,https://data.un.org/common/flags/kwt_flag.png
106,Kyrgyz Republic,Europe and Central Asia,https://data.un.org/common/flags/kgz_flag.png
107,Lao PDR,East Asia and Pacific,https://data.un.org/common/flags/lao_flag.png
108,Latvia,Europe and Central Asia,https://data.un.org/common/flags/lva_flag.png
109,Lebanon,Middle East and North Africa,https://data.un.org/common/flags/lbn_flag.png
110,Lesotho,Sub-Saharan Africa,https://data.un.org/common/flags/lso_flag.png
111,Liberia,Sub-Saharan Africa,https://data.un.org/common/flags/lbr_flag.png
112,Libya,Middle East and North Africa,https://data.un.org/common/flags/lby_flag.png
